読み方	日本語	英語
きゅうりょう	給料	salary, pay
しぼる	絞る	wring out, squeeze
けつろん	結論	conclusion
けっこう	結構	quite
けっこう	結構	all right, no thank you
けっかく	結核	tuberculosis
けっか	結果	result, outcome
けっしょう	結晶	crystallization
けっせい	結成	organization, formation
けっきょく	結局	after all, finally
けっこん	結婚	marriage
けつごう	結合	combination, joining
むすぶ	結ぶ	tie, join
むすび	結び	end, close
けいけん	経験	experience
けいか	経過	progression, lapse
けいひ	経費	expense
けいゆ	経由	via, through
けいざいてき	経済的	economical, economic
けいざい	経済	economy, economics
けいれき	経歴	personal history, resume
けいえい	経営	management, operation
へる	経る	pass, pass through
たつ	経つ	pass, elapse
そしき	組織	organization, constitution, tissue
くみあい	組合	union, guild
くむ	組む	pair up, partner with
くみこむ	組み込む	incorporate, integrate
くみたてる	組み立てる	build, set up, construct
くみあわせる	組み合わせる	assort, join together
くみあわせ	組み合わせ	combination, assortment
くみ	組	school class
しゅうでん	終電	last train
しゅうてん	終点	last stop, terminus
しゅうりょう	終了	end, expiry
おわる	終わる	finish, end
おわり	終わり	end, conclusion
おえる	終える	end, finish
こん	紺	dark blue, navy blue
しょうかい	紹介	introduction, presentation
しんし	紳士	gentleman
ほそながい	細長い	long and thin, slender
こまかい	細かい	minute, elaborate
こまか	細か	minute, elaborate
ほそい	細い	thin, slender, narrow
むらさき	紫	purple
さくいん	索引	index
すなお	素直	honest, straightforward
すばらしい	素晴らしい	splendid, excellent
すばやい	素早い	nimble, quick
すてき	素敵	lovely, nice
きゅう	級	grade, class
かみくず	紙屑	wastepaper
かみ	紙	paper
じゅんすい	純粋	pure, unmixed
なっとう	納豆	natto (fermented soybeans)
なっとく	納得	acceptance, persuasion
おさめる	納める	pay a tax or fee
こうよう	紅葉	autumn leaves, crimson foliage
こうちゃ	紅茶	black tea
やくそく	約束	promise, vow
けいとう	系統	system, lineage
けいれつ	系列	affiliation
いと	糸	thread, yarn
のり	糊	glue, starch
せいさん	精算	settlement of accounts, adjustment
せいしん	精神	mind, spirit
あらすじ	粗筋	outline, plot
つぶ	粒	grain, drop
こな	粉	powder, flour
こめ	米	rice (grain)
かんたん	簡単	simple, easy
はんい	範囲	range, scope
せつやく	節約	economizing, saving
はし	箸	chopsticks
はこ	箱	box, case
かんり	管理	management, administration
かん	管	pipe, tube
さく	策	scheme, policy
とうあん	答案	examination paper, answer
こたえる	答える	answer, reply
こたえ	答え	answer, solution
すじみち	筋道	method, logic
きんにく	筋肉	muscle, sinews
すじ	筋	muscle
ひとしい	等しい	equal, same
ひっきしけん	筆記試験	written examination
ひっきようぐ	筆記用具	writing materials, pens and pencils
ひっしゃ	筆者	writer
ふで	筆	writing brush, penmanship
だいいち	第一	number one, the best
ふえ	笛	flute, whistle
えがお	笑顔	smiling face, smile
わらう	笑う	laugh, smile
わらいごえ	笑い声	laughter
わらい	笑い	laughter
たけ	竹	bamboo
きょうぎ	競技	match, sporting event
きょうそう	競争	competition
はし	端	end, edge
しょう	章	chapter
りっぱ	立派	fine, excellent
たちば	立場	standpoint, position
たてこむ	立て込む	full of, crowded with
たてかえる	立て替える	pay for another, pay in advance
たてる	立てる	stand, set up, establish
たつ	立つ	stand, rise
たちなおる	立ち直る	recover, regain one's footing
たちどまる	立ち止まる	stop, halt
たちいりきんし	立ち入り禁止	no trespassing
たちあがる	立ち上がる	stand up, take action
きゅうくつ	窮屈	tight, cramped
まどぐち	窓口	window
まど	窓	window, windowpane
とつぜん	突然	abruptly, suddenly
つっこむ	突っ込む	thrust in, dash into
つく	突く	thrust, poke
つきあたる	突き当たる	hit against, come to the end of
つきあたり	突き当たり	end of a street
くうかん	空間	space, room
くうこう	空港	airport
くうき	空気	air, atmosphere
からて	空手	karate, empty hand
くうそう	空想	fantasy, daydreams
くうちゅう	空中	in the air, in the sky
からっぽ	空っぽ	empty
あける	空ける	empty, clear out
あく	空く	become available or vacant
すく	空く	be empty
あきち	空き地	unoccupied ground, vacant lot
あき	空き	vacancy, free time
そら	空	sky, weather
から	空	emptiness, hollow
あな	穴	hole, cavity
おだやか	穏やか	calm, mild
せっきょくてき	積極的	positive, active
つもる	積もる	accumulate, get accumulated
つむ	積む	pile up, accumulate
けいこ	稽古	practice, learning
かせぐ	稼ぐ	earn, make money
いね	稲	rice plant
しゅるい	種類	kind, species
しゅもく	種目	item, event
たね	種	seed
ぜいかん	税関	custom house, customs
ぜいきん	税金	tax
ぜい	税	tax, duty
ていど	程度	degree, extent
ほど	程	extent, limit
いてん	移転	transfer, change of address
いどう	移動	movement, shift
うつる	移る	move, shift
うつす	移す	move, shift, transfer
ちつじょ	秩序	order, method
ひしょ	秘書	secretary
ひみつ	秘密	secret, privacy
かもく	科目	subject
かがくしゃ	科学者	scientist
かがく	科学	science
あきかぜ	秋風	autumn breeze
しゅうぶん	秋分	autumnal equinox
あき	秋	autumn, fall
してつ	私鉄	private railway
しひ	私費	private expense
しりつ	私立	private
しよう	私用	private business, private use
わたしたち	私たち	we
わたくし	私	I, myself
わたし	私	I
ふくし	福祉	welfare
きんしゅ	禁酒	abstention from alcohol
きんえん	禁煙	no smoking, giving up smoking
きんし	禁止	prohibition, forbiddance
きんじる	禁じる	prohibit, forbid
さいじつ	祭日	national holiday, festival day
まつり	祭り	festival
しんとう	神道	Shinto
しんけい	神経	sensitivity, nerves
じんじゃ	神社	Shinto shrine
かみさま	神様	god, the divine
かみ	神	god, spirit
しゅくじつ	祝日	holiday, festival day
いわう	祝う	celebrate, congratulate
いわい	祝い	celebration, congratulation
そふ	祖父	grandfather
そぼ	祖母	grandmother
そせん	祖先	ancestor, forefather
いのる	祈る	pray, wish for
いのり	祈り	prayer
しゃちょう	社長	president (of a company)
しゃせつ	社説	editorial
しゃいん	社員	staff member, employee
しゃかいかがく	社会科学	social sciences
しゃかいじん	社会人	member of society, working person
しゃかい	社会	society
れいぎ	礼儀	good manners, courtesy
れい	礼	bow, courtesy
しめす	示す	show, indicate
みがく	磨く	polish, grind
かくにん	確認	confirmation
かくりつ	確立	establishment
かくりつ	確率	probability, rate
かくじつ	確実	certain, secure
かくてい	確定	decision, confirmation
かくしん	確信	firm belief, conviction
かくほ	確保	securement
たしかめる	確かめる	make sure of, confirm
たしか	確か	for sure, for certain
かたさ	硬さ	hardness
はかい	破壊	breaking, destruction
やぶれる	破れる	tear, rip open
やぶる	破る	tear, break through, breach
やぶる	破る	defeat
くだける	砕ける	be crushed, break down
くだく	砕く	crush, smash
けんきゅう	研究	research, study
さとう	砂糖	sugar
さばく	砂漠	desert
すなはま	砂浜	sandy beach, sands
すな	砂	sand, grit
せっけん	石鹸	soap
せきたん	石炭	coal
せきゆ	石油	petroleum, oil
いし	石	stone, small rock
たんしゅく	短縮	shortening, contraction
たんき	短気	short temper
たんきだいがく	短期大学	junior college
たんき	短期	short-term
たんしょ	短所	shortcoming, defect
たんだい	短大	junior college
みじかい	短い	short, brief
ちしき	知識	knowledge
ちのう	知能	intelligence, mental capacity
ちてき	知的	intellectual, mental
ちじん	知人	acquaintance, friend
ちじ	知事	governor
しれる	知れる	become known, be found out
しる	知る	know
しりあう	知り合う	get acquainted with
しりあい	知り合い	acquaintance
しらせる	知らせる	let know, inform
しらせ	知らせ	information, notice
しらずしらず	知らず知らず	unawares, without knowing it
やじるし	矢印	arrow
むじゅん	矛盾	contradiction
しゅんかん	瞬間	instant, moment
すいみん	睡眠	sleep, slumber
ちゃくりく	着陸	landing
きもの	着物	clothes, kimono
きがえる	着替える	change clothes
きがえ	着替え	change of clothes
ちゃくせき	着席	taking a seat
きる	着る	wear, put on
きせる	着せる	dress, put on clothes
つける	着ける	pull up, park (a vehicle)
つく	着く	arrive, make contact, settle
めがね	眼鏡	glasses, judgment
がんか	眼科	ophthalmology
ながめる	眺める	look out, gaze
ながめ	眺め	view, prospect
ねむる	眠る	sleep
ねむり	眠り	sleep, slumber
ねむたい	眠たい	sleepy
ねむい	眠い	sleepy
まじめ	真面目	serious, sober, earnest
しんそう	真相	the truth
しんり	真理	truth
しんじゅ	真珠	pearl
まごころ	真心	sincerity, true heart
しんじつ	真実	truth, reality
まよなか	真夜中	midnight, middle of the night
まなつ	真夏	midsummer
ましかく	真四角	square
しんけん	真剣	serious, sincere
まんまる	真ん丸	perfect circle
まんなか	真ん中	center, middle
まっくろ	真っ黒	deep-black, jet-black
まっさお	真っ青	deep-blue, pale (skin)
まっか	真っ赤	deep red
まっすぐ	真っ直ぐ	dead straight, honestly
まっしろ	真っ白	pure-white
まっさいちゅう	真っ最中	midst
まっくら	真っ暗	pitch-dark
まっさき	真っ先	first thing, forefront
けんりつ	県立	prefectural
けんちょう	県庁	prefectural office
けん	県	prefecture
かんごふ	看護婦	female nurse
かんご	看護	nursing
かんびょう	看病	nursing, nursing care
かんばん	看板	signboard, sign
まゆげ	眉毛	eyebrows
まゆ	眉	eyebrow
しょうりゃく	省略	omission, abbreviation
はぶく	省く	omit, dispense with
そうだん	相談	consultation, advice
すもう	相撲	sumo wrestling
あいて	相手	opponent
ふさわしい	相応しい	suitable, appropriate
そうとう	相当	correspondence, suitability
あいかわらず	相変わらず	as usual, as before
そうば	相場	market price, speculation
そうご	相互	mutual, reciprocal
ちょくつう	直通	direct link
ちょっかく	直角	right angle
ちょくせん	直線	straight line
ちょくせつ	直接	directly
ちょくご	直後	immediately after
ちょっけい	直径	diameter
ちょくぜん	直前	just before, immediately prior
なおる	直る	be repaired, return to normal
ただちに	直ちに	at once, immediately
なおす	直す	repair, cure, alter
すぐ	直ぐ	at once, soon
めざましどけい	目覚まし時計	alarm clock
めざましい	目覚ましい	striking, marvelous
めざまし	目覚まし	waking up
めぐすり	目薬	eye drops
めちゃくちゃ	目茶苦茶	in a mess, terrible
めだつ	目立つ	stand out, be conspicuous
もくてきち	目的地	destination, goal
もくてき	目的	object, purpose
もくじ	目次	table of contents
もくひょう	目標	target, goal
めかた	目方	weight
めざす	目指す	aim for, have an eye on
めじるし	目印	landmark, sign
めした	目下	one's inferiors
もっか	目下	now, at present
めうえ	目上	one's superiors, one's elders
め	目	eye
かんとく	監督	supervisor, film director
さかん	盛ん	prosperous, active
もる	盛る	heap up, fill
もりあげる	盛り上げる	build up excitement
もりあがる	盛り上がる	become lively, get fired up
とうなん	盗難	robbery, burglary
ぬすむ	盗む	steal, rob
ぼんおどり	盆踊り	Bon Festival dance
ぼんち	盆地	valley, basin
ぼん	盆	Bon Festival
ぼん	盆	tray
さら	皿	plate, counter for plates or helpings
ひふ	皮膚	skin
ひにく	皮肉	cynicism, irony
かわ	皮	peel, fur
みなさま	皆様	everyone, ladies and gentlemen
みなさん	皆さん	everybody, ladies and gentlemen
みな	皆	all, everybody
ひゃっかてん	百貨店	department store
ひゃっかじてん	百科事典	encyclopedia
ひゃく	百	hundred
しらが	白髪	white hair, gray hair
はくさい	白菜	nappa cabbage
はくせん	白線	white line, warning line
はくし	白紙	blank sheet, clean slate
しろい	白い	white, blank
しろ	白	white
とうろく	登録	registration
とうこう	登校	attending school
とざん	登山	climbing, mountaineer
とうじょう	登場	appearance on stage, appearance
のぼる	登る	climb, mount, go up
はつおん	発音	pronunciation
はつでんしょ	発電所	power plant, generating station
はつでん	発電	generation of electricity
はったつ	発達	development, growth
はっしゃ	発車	start, leave
はつげん	発言	utterance, speech
はっけん	発見	discovery, revelation
はっぴょう	発表	announcement
はっこう	発行	publication, issue
はっせい	発生	occurrence, happening
はつねつ	発熱	generation of heat, get a fever
はつめい	発明	invention
はってん	発展	expansion, prosperity
はつばい	発売	sale, selling
たつ	発つ	start, leave
くせ	癖	habit, mannerism
やせる	痩せる	lose weight, become thin
いたむ	痛む	feel pain, hurt
いたみ	痛み	pain, ache
いたい	痛い	painful
しょうじょう	症状	symptom
びょういん	病院	hospital
びょうき	病気	illness
びょうし	病死	death from sickness
びょうしつ	病室	patient room, ward
びょうにん	病人	sick person, patient
ひろう	疲労	fatigue
つかれる	疲れる	get tired, become fatigued
つかれ	疲れ	fatigue, exhaustion
ぎもん	疑問	question, doubt
うたがわしい	疑わしい	doubtful, questionable
うたがう	疑う	doubt, be suspicious
うたがい	疑い	doubt, suspicion
たたむ	畳む	fold, shut
たたみ	畳	tatami, mat
いせい	異性	opposite sex
いじょう	異常	extraordinary, exceptional
ことなる	異なる	differ
ばんぐみ	番組	program
ばんち	番地	lot number, address
ばんごう	番号	number, serial number
ばん	番	one's turn, watch
りゃくす	略す	abbreviate, omit
りゃく	略	abbreviation
るすばん	留守番	caretaking, caretaker
るす	留守	not at home
りゅうがくせい	留学生	student studying abroad
りゅうがく	留学	studying abroad
はたけ	畑	field, vegetable garden
がめん	画面	screen
がか	画家	artist, painter
まちかど	町角	street corner
まちはずれ	町外れ	outskirts of a town
まちなか	町中	the downtown area, the central area of a town
まち	町	town, machi, city quarter
だんせいてき	男性的	masculine, manly
だんせい	男性	male, man
だんし	男子	boy, young man
だんじょ	男女	men and women, both sexes
おとこらしい	男らしい	manly, masculine
おとこのこ	男の子	boy, baby boy
おとこ	男	man, male
しんせい	申請	application, petition
もうす	申す	speak humbly, state humbly
もうしこむ	申し込む	apply, make a proposal
もうしこみ	申し込み	application, proposal
もうしわけない	申し訳ない	sorry, inexcusable
もうしわけ	申し訳	excuse, apology
もうしでる	申し出る	offer, propose
もうしあげる	申し上げる	speak humbly, do
いなか	田舎	country, countryside
たはた	田畑	fields and rice paddies
たうえ	田植え	rice planting
たんぼ	田んぼ	rice field
た	田	rice field, rice paddy
ようと	用途	use, service
ようし	用紙	blank form, stationery
ようい	用意	prepare, ready oneself
ようじん	用心	care, caution
ようれい	用例	example, illustration
ようけん	用件	matter, things to be done
ようじ	用事	things to do, errand, business
もちいる	用いる	use, make use of
よう	用	things to do
おい	甥	nephew
さんぎょう	産業	industry
さんふじんか	産婦人科	obstetrics and gynecology
さんち	産地	production center
なまぐさい	生臭い	smelling of fish
せいさん	生産	production
せいり	生理	period, menstruation
せいぶつ	生物	living creature, lifeform
しょうがい	生涯	for life, lifetime
せいかつ	生活	life, living
せいし	生死	life and death
なまいき	生意気	cheeky, conceited
せいと	生徒	pupil, student
せいねんがっぴ	生年月日	date of birth
せいぞん	生存	existence, survival
せいめい	生命	life
はやす	生やす	grow, cultivate
うむ	生む	have children
うみだす	生み出す	generate, produce
うまれる	生まれる	be born, come into existence
うまれつき	生まれつき	born, by nature
うまれ	生まれ	birth, origin
しょうずる	生ずる	arise, occur
しょうじる	生じる	happen, cause
いけばな	生け花	flower arrangement
いきいきと	生き生きと	lively, vividly
いきもの	生き物	living creature
いきかた	生き方	way of life, lifestyle
いきる	生きる	live (one's life)
いかす	生かす	take advantage of, make use of
はえる	生える	grow, spring up
せい	生	life
なま	生	raw, fresh
あまやかす	甘やかす	be indulgent to, spoil
あまえる	甘える	depend on, take advantage of
あまい	甘い	sweet
びん	瓶	bottle, flask
かんきょう	環境	environment, surroundings
りろん	理論	theory
りかい	理解	understanding, comprehension
りけい	理系	science
りか	理科	science
りゆう	理由	reason, cause
りそう	理想	ideal
りせい	理性	reason, reasoning power
りくつ	理屈	reason, logic
きゅう	球	globe, ball
げんきん	現金	cash
げんしょう	現象	phenomenon
げんじょう	現状	present condition
げんじつ	現実	actuality, reality
げんば	現場	actual spot, job site
げんち	現地	actual site, in the field
げんざい	現在	the present, present time
げんぞう	現像	developing a film
げんじゅうしょ	現住所	present address
げんだい	現代	present age, modern times
あらわれる	現れる	appear, emerge
あらわれ	現れ	embodiment, manifestation
あらわす	現す	show, reveal
はん	班	squad, group
めずらしい	珍しい	rare, precious
おうさま	王様	king
おう	王	king
たまねぎ	玉ねぎ	onion
たま	玉	bead, ball
そっちょく	率直	frank, openhearted
りつ	率	ratio, proportion
げんかん	玄関	entrance, door
かくとく	獲得	acquisition
けもの	獣	beast, brute
さる	猿	monkey, ape
ねこ	猫	cat, feline
せばめる	狭める	narrow, contract
せばまる	狭まる	become narrow, contract
せまい	狭い	narrow, restricted
どくしん	独身	single life, celibacy
どくりつ	独立	independence, self-reliance
どくとく	独特	peculiarity, uniqueness
どくせん	独占	exclusive possession, monopoly
ひとりごと	独り言	soliloquy, monologue
ねらう	狙う	aim, be after
くるう	狂う	become insane, get out of order
じょうきょう	状況	state of affairs, conditions
じょうたい	状態	state, appearance
はんざい	犯罪	offense, crime
はんにん	犯人	criminal, offender
おかす	犯す	offend against, rape
いぬ	犬	dog
ぎせい	犠牲	sacrifice
とくしょく	特色	characteristic
とくしゅ	特殊	special, unique
とくゆう	特有	characteristic, special
とっきゅう	特急	super-express
とくちょう	特徴	distinctive feature, characteristic
とくてい	特定	specific, particular
とくべつ	特別	special, extraordinary
とくに	特に	specially, particularly
ものおと	物音	noise, sound
ものかげ	物陰	place behind something
ぶっしつ	物質	matter, substance
ぶっし	物資	commodities, goods
ものおぼえ	物覚え	memory
ものしり	物知り	knowledgeable person, know-it-all
ぶつり	物理	physics, natural law
ものさし	物差し	ruler
ものすごい	物凄い	tremendous
ぶっか	物価	prices
ぶったい	物体	object, physical body
ものごと	物事	things, everything
もの	物	thing, object
ぼくじょう	牧場	stock farm, pasture
ぎゅうにく	牛肉	beef
ぎゅうにゅう	牛乳	milk
うし	牛	cattle, cow
かたみち	片道	one way
かたほう	片方	one side
かたて	片手	one hand
かたがわ	片側	one side
かたかな	片仮名	katakana
かたづける	片付ける	put in order, dispose of, do away with
かたづく	片付く	be put in order, be settled
さわやか	爽やか	refreshing, clear
ちちおや	父親	father
ふぼ	父母	father and mother, parents
ふけい	父兄	parents, legal guardians
ちち	父	(speaker's)father
つめきり	爪切り	nail clipper
つめ	爪	nail, claw
ばくはつ	爆発	explosion, eruption
ばくだん	爆弾	bomb
ねんりょう	燃料	fuel
もやす	燃やす	burn
もえる	燃える	burn, undergo combustion
ねっしん	熱心	enthusiasm, zeal
ねったい	熱帯	tropics
ねっする	熱する	heat, become hot
あつい	熱い	hot (things, touch)
ねつ	熱	heat, fever
にる	煮る	boil, cook
にえる	煮える	boil, be boiled
しょうめい	照明	illumination, lighting
てる	照る	shine, be fine
てらす	照らす	illuminate, shine on
えんとつ	煙突	chimney, smokestack
けむり	煙	smoke, fumes
やける	焼ける	burn, be scorched, be baked
やく	焼く	burn, bake, be envious
やきとり	焼き鳥	yakitori, grilled chicken
やきにく	焼き肉	grilled meat, barbequed meat
やきそば	焼きそば	pan-fried noodles
しょうてん	焦点	focus, focal point
あせる	焦る	feel pressured, feel hurried
こげる	焦げる	scorch, burn
むだづかい	無駄遣い	wasting money
むだ	無駄	no good, pointless
むげん	無限	infinite, endless
むかんしん	無関心	apathy, indifference
むかんけい	無関係	irrelevant, unrelated
むじゃき	無邪気	innocence, simplicity
むせきにん	無責任	irresponsibility
むろん	無論	of course, no doubt
むごん	無言	silence, muteness
むし	無視	ignoring, disregarding
むちゃ	無茶	reckless, excessive
むしょく	無色	colorless, neutral
むのう	無能	inefficiency, incompetence
むせん	無線	radio, wireless
むち	無知	ignorance
むよう	無用	useless, unnecessary
むせいぶつ	無生物	inanimate object
むりやり	無理やり	by force, against one's will
むり	無理	unreasonable, impossible, forced
むり	無理	impossibility
むりょう	無料	no charge, free
むすう	無数	countless, innumerable
むいしき	無意識	unconsciously, without thinking
むいみ	無意味	meaningless, absurd
むがい	無害	harmless
むくち	無口	not speaking much, reticence
むこう	無効	invalidity, ineffectiveness
むせいげん	無制限	unlimited, free
ぶじ	無事	safely, peacefully
なくなる	無くなる	disappear, run short, get lost
なくす	無くす	lose, get rid of
ない	無い	to not be
たく	焚く	start a fire
てんすう	点数	points, score
てん	点	point, issue
いためる	炒める	stir-fry
ほのお	炎	flame, blaze
すいじ	炊事	cooking
たく	炊く	cook, boil
さいなん	災難	calamity, misfortune
さいがい	災害	calamity, disaster
はいいろ	灰色	ash color, gray
はいざら	灰皿	ashtray
はい	灰	ashes
とうゆ	灯油	kerosene, lamp oil
かさい	火災	fire, conflagration
かようび	火曜日	Tuesday
かざん	火山	volcano
かりょく	火力	heating power, heat
かじ	火事	fire
ひ	火	fire
ぬれる	濡れる	get wet
ぬらす	濡らす	wet, moisten
こい	濃い	thick, concentrated, dark-colored
にごる	濁る	get cloudy
はげしい	激しい	violent, intense
すむ	澄む	clear, become clear
つぶれる	潰れる	crush
つぶす	潰す	crush, smash
もぐる	潜る	dive into
つけもの	漬け物	pickle, pickled vegetable
つける	漬ける	pickle, marinade
まんが	漫画	manga, comics
かんご	漢語	Chinese-character compounds
かんじ	漢字	character, kanji
かんわ	漢和	Chinese and Japanese
こぐ	漕ぐ	row
えんぜつ	演説	speech, address
えんそう	演奏	musical performance
えんげき	演劇	drama, play
えんじる	演じる	perform, play
もれる	漏れる	leak, be disclosed
もる	漏る	leak, be leaky
もらす	漏らす	give away, let leak
ぎょぎょう	漁業	fishing industry
たいざい	滞在	stay
すべる	滑る	slide, slip, flunk an examination
なめらか	滑らか	smooth, glassy
ほろびる	滅びる	go to ruin, fall
おぼれる	溺れる	drown, be drowned
とける	溶ける	be dissolved, be melted
とかす	溶かす	dissolve, melt
みぞ	溝	ditch, groove
ためいき	溜め息	sigh
ためる	溜める	store, collect
たまる	溜まる	accumulate, store up
じゅんきゅう	準急	local express
じゅんび	準備	provide for, prepare for
まんぞく	満足	satisfaction, contentment
まんてん	満点	full marks, perfect score
まんげつ	満月	full moon
まんいん	満員	full to capacity
みちる	満ちる	be filled, expire
みたす	満たす	fill, satisfy
しっけ	湿気	moisture, dampness
しつど	湿度	humidity
しめる	湿る	get damp, get wet
しめっぽい	湿っぽい	damp, gloomy
わん	湾	bay, gulf
ゆのみ	湯飲み	teacup
ゆげ	湯気	steam, vapor
ゆ	湯	hot water, hot bath, bathhouse
みずうみ	湖	lake
みなと	港	port, harbor
そくてい	測定	measure, gauge
はかる	測る	measure, gauge
おんせん	温泉	hot spring
おんだん	温暖	warm, mild
おんど	温度	temperature
おんたい	温帯	temperate zone
わたる	渡る	cross, ford, go across
わたす	渡す	carry across, hand over
げんしょう	減少	decrease, reduction
へる	減る	decrease, diminish
へらす	減らす	decrease, reduce
じゅうたい	渋滞	delay, traffic jam
しぶい	渋い	bitter, astringent
すむ	済む	be settled, complete
すませる	済ませる	finish off, get done with
すます	済ます	settle, complete
かわく	渇く	be thirsty
せいけつ	清潔	cleanliness, neatness
せいしょ	清書	clean copy
そえる	添える	add to, attach to
そう	添う	accompany, go along with
こんざつ	混雑	confusion, disorder
こんらん	混乱	disorder, confusion
こむ・こむ	混む・込む	be crowded, be congested
まぜる	混ぜる	blend, mix by stirring
まじる	混じる	be blended, get mixed
まざる	混ざる	be mixed, be stirred
しんこく	深刻	serious, grave
ふかめる	深める	deepen, intensify
ふかまる	深まる	deepen, become deeper
ふかさ	深さ	depth, profundity
ふかい	深い	deep, profound, intimate
すずしい	涼しい	cool, refreshing
えきたい	液体	liquid, fluid
えき	液	liquid, fluid
なみだ	涙	tear
しょうぼうしゃ	消防車	fire engine
しょうぼうしょ	消防署	fire station
しょうぼう	消防	fire fighting, fire prevention
しょうひしゃ	消費者	consumer
しょうひ	消費	consumption, spending
しょうかき	消火器	fire extinguisher
しょうか	消火	fire fighting
しょうどく	消毒	disinfection, sterilization
しょうきょくてき	消極的	negative, passive
しょうか	消化	digestion, consumption
けす	消す	switch off, turn off
けしごむ	消しゴム	eraser
きえる	消える	be extinguished, disappear
のり	海苔	laver
かいりゅう	海流	ocean current
かいよう	海洋	ocean, sea
かいすいよく	海水浴	sea bathing
かいすい	海水	seawater
かいきょう	海峡	straits, channel
かいがん	海岸	seashore, coast
かいがい	海外	overseas, abroad
かいじょう	海上	maritime
うみ	海	sea, ocean
あびる	浴びる	take (a shower)
うく	浮く	float
うかべる	浮かべる	set afloat
うかぶ	浮かぶ	float
はまべ	浜辺	beach, seashore
はま	浜	beach, seashore
あさい	浅い	shallow, superficial
りゅうつう	流通	circulation, distribution
はやる	流行る	be in fashion, be popular
りゅうこう	流行	fashion, trend
はやり	流行	fashion, trend
ながれる	流れる	flow, pass, drift away
ながれ	流れ	flow, stream
ながす	流す	let flow, set adrift
はばつ	派閥	clique, faction
はけん	派遣	dispatch, sending
はで	派手	showy, flashy
はしゅつじょ	派出所	branch office, police box
かつやく	活躍	activity, action
かっぱつ	活発	lively, active
かつよう	活用	utilization, conjugation
かつじ	活字	printed type
かつどう	活動	activity
こうずい	洪水	flood, inundation
せんめんじょ	洗面所	washroom, bathroom
せんめんき	洗面器	washbowl, sink
せんめん	洗面	washing one's face
せんたくき	洗濯機	washing machine
せんたく	洗濯	laundering, washing
せんざい	洗剤	detergent, cleanser
あらう	洗う	wash
あらいもの	洗い物	dishes to be washed
ようしょく	洋食	Western cooking, European dish
ようふう	洋風	Western style
ようま	洋間	Western-style room
ようが	洋画	foreign film
ようふく	洋服	clothes
ようしき	洋式	Western style
ようしつ	洋室	Western-style room
およぐ	泳ぐ	swim
ちゅうもく	注目	attention, notice
ちゅうもん	注文	order, request
ちゅういぶかい	注意深い	careful, discreet
ちゅうい	注意	attention, care, watch out
ちゅうしゃ	注射	injection, shot
そそぐ	注ぐ	pour into, concentrate
ちゅう	注	annotation, explanatory note
どろぼう	泥棒	thief, crook
どろ	泥	mud, dirt
なく	泣く	cry, weep
なきがお	泣き顔	tear-stained face
なきごえ	泣き声	tearful voice, crying
なみ	波	wave, fluctuations
ほうりつ	法律	law
ほうがくぶ	法学部	law department
ほうそく	法則	law, rule
ほう	法	law, rule
とめる	泊める	lodge, give shelter
とまる	泊まる	stay overnight
いずみ	泉	spring, fountain
えんがん	沿岸	coast, shore
そう	沿う	lie along, follow along
ちりょう	治療	medical treatment
なおる	治る	be cured, get well
おさまる	治まる	settle down, be cured
なおす	治す	cure, heal
あぶらえ	油絵	oil painting
ゆだん	油断	inattention, carelessness
あぶら	油	oil, animal oil
ふっとう	沸騰	boiling
わく	沸く	boil, be excited
わかす	沸かす	boil, excite
かこう	河口	river mouth, estuary
おき	沖	offshore
ちんぼつ	沈没	sinking
しずめる	沈める	sink, submerge
しずむ	沈む	sink, set
きしゃ	汽車	train
けつい	決意	resolution, determination
けっしん	決心	determination, resolve
けってい	決定	decision, settlement
けっしょう	決勝	final, final game
きめる	決める	decide, agree upon
きまる	決まる	be decided
きまり	決まり	settlement, rule
けっして	決して	never, by no means
くむ	汲む	collect, scoop up
いけ	池	pond
おせん	汚染	pollution, contamination
よごれる	汚れる	become dirty, become defiled
よごれ	汚れ	dirt, filth
よごす	汚す	make dirty, soil
きたない	汚い	dirty
あせ	汗	sweat
きゅうじん	求人	recruiting
もとめる	求める	seek, wish for
えいえん	永遠	eternity
えいきゅう	永久	permanence, eternity
こおり	氷	ice
すいめん	水面	surface of the water
すいどう	水道	water service, channel
みずいろ	水色	sky blue, turquoise
すいそ	水素	hydrogen
みずぎ	水着	bathing suit
すいでん	水田	paddy field, rice field
すいじゅん	水準	level, standard
すいせん	水洗	flushing, washing
すいえい	水泳	swimming
すいようび	水曜日	Wednesday
すいぞくかん	水族館	aquarium
すいへいせん	水平線	horizon
すいへい	水平	horizontal, level
すいがい	水害	flood damage
すいりょく	水力	waterpower, hydraulic power
すいちゅう	水中	in the water, underwater
みず	水	water
きがる	気軽	lighthearted, easy
きしょう	気象	weather condition
きぜつ	気絶	fainting
きおん	気温	temperature
きらく	気楽	easygoing, comfortable
きもち	気持ち	feeling, sensation
きあつ	気圧	atmospheric pressure
きりょく	気力	energy, vitality
きぶん	気分	feeling, mood
きこう	気候	climate
きたい	気体	gas, vapor
きづく	気付く	notice, become aware of
きをつける	気を付ける	take care of, pay attention to
きのどく	気の毒	pitiable, regrettable
きにいる	気に入る	like, be pleased with
き	気	spirit, temperament
みんかん	民間	citizens, civilians
みんぞく	民族	race, people
みんしゅ	民主	democracy
しめい	氏名	name
し	氏	Mr.
